Date,Price,Open,High,Low,Vol.,Change %
04/19/2024,"1,689.31","1,689.31","1,689.31","1,689.31",,-0.53%
04/18/2024,"1,698.26","1,698.26","1,698.26","1,698.26",,-0.29%
04/17/2024,"1,703.13","1,703.13","1,703.13","1,703.13",,0.27%
04/16/2024,"1,698.46","1,698.46","1,698.46","1,698.46",,-0.67%
04/15/2024,"1,709.90","1,709.90","1,709.90","1,709.90",,-0.87%
04/12/2024,"1,724.86","1,724.86","1,724.86","1,724.86",,-0.93%
04/11/2024,"1,741.12","1,741.12","1,741.12","1,741.12",,0.12%
04/09/2024,"1,738.99","1,738.99","1,738.99","1,738.99",,-0.20%
04/08/2024,"1,742.41","1,742.41","1,742.41","1,742.41",,-0.33%
04/05/2024,"1,748.10","1,748.10","1,748.10","1,748.10",,0.01%
04/04/2024,"1,747.85","1,747.85","1,747.85","1,747.85",,-0.21%
04/03/2024,"1,751.50","1,751.50","1,751.50","1,751.50",,-0.40%
04/02/2024,"1,758.59","1,758.59","1,758.59","1,758.59",,0.35%
03/28/2024,"1,752.43","1,752.43","1,752.43","1,752.43",,-0.03%
03/27/2024,"1,753.02","1,753.02","1,753.02","1,753.02",,0.28%
03/26/2024,"1,748.15","1,748.15","1,748.15","1,748.15",,2.07%
03/25/2024,"1,712.76","1,712.76","1,712.76","1,712.76",,1.52%
03/22/2024,"1,687.17","1,687.17","1,687.17","1,687.17",,1.70%
03/21/2024,"1,658.96","1,658.96","1,658.96","1,658.96",,-0.48%
03/20/2024,"1,667.01","1,667.01","1,667.01","1,667.01",,2.03%
03/19/2024,"1,633.87","1,633.87","1,633.87","1,633.87",,0.19%
03/18/2024,"1,630.81","1,630.81","1,630.81","1,630.81",,-0.42%
03/15/2024,"1,637.74","1,637.74","1,637.74","1,637.74",,1.66%
03/14/2024,"1,611.07","1,611.07","1,611.07","1,611.07",,2.40%
03/13/2024,"1,573.37","1,573.37","1,573.37","1,573.37",,0.70%
03/12/2024,"1,562.41","1,562.41","1,562.41","1,562.41",,-0.25%
03/11/2024,"1,566.28","1,566.28","1,566.28","1,566.28",,0.65%
03/08/2024,"1,556.10","1,556.10","1,556.10","1,556.10",,0.66%
03/07/2024,"1,545.83","1,545.83","1,545.83","1,545.83",,-0.34%
03/06/2024,"1,551.08","1,551.08","1,551.08","1,551.08",,0.39%
03/05/2024,"1,545.08","1,545.08","1,545.08","1,545.08",,-0.21%
03/04/2024,"1,548.28","1,548.28","1,548.28","1,548.28",,0.59%
03/01/2024,"1,539.22","1,539.22","1,539.22","1,539.22",,0.22%
02/29/2024,"1,535.89","1,535.89","1,535.89","1,535.89",,-0.56%
02/28/2024,"1,544.56","1,544.56","1,544.56","1,544.56",,0.28%
02/27/2024,"1,540.23","1,540.23","1,540.23","1,540.23",,-0.29%
02/26/2024,"1,544.68","1,544.68","1,544.68","1,544.68",,0.52%
02/23/2024,"1,536.69","1,536.69","1,536.69","1,536.69",,0.33%
02/22/2024,"1,531.68","1,531.68","1,531.68","1,531.68",,-0.28%
02/21/2024,"1,535.94","1,535.94","1,535.94","1,535.94",,0.19%
02/20/2024,"1,533.05","1,533.05","1,533.05","1,533.05",,0.34%
02/19/2024,"1,527.84","1,527.84","1,527.84","1,527.84",,0.42%
02/16/2024,"1,521.44","1,521.44","1,521.44","1,521.44",,0.23%
02/15/2024,"1,517.92","1,517.92","1,517.92","1,517.92",,0.41%
02/14/2024,"1,511.79","1,511.79","1,511.79","1,511.79",,-0.42%
02/13/2024,"1,518.22","1,518.22","1,518.22","1,518.22",,0.44%
02/12/2024,"1,511.62","1,511.62","1,511.62","1,511.62",,-0.32%
02/09/2024,"1,516.50","1,516.50","1,516.50","1,516.50",,-0.65%
02/08/2024,"1,526.48","1,526.48","1,526.48","1,526.48",,0.23%
02/07/2024,"1,523.02","1,523.02","1,523.02","1,523.02",,0.04%
02/06/2024,"1,522.45","1,522.45","1,522.45","1,522.45",,-0.03%
02/05/2024,"1,522.92","1,522.92","1,522.92","1,522.92",,0.68%
02/02/2024,"1,512.56","1,512.56","1,512.56","1,512.56",,0.04%
02/01/2024,"1,511.89","1,511.89","1,511.89","1,511.89",,0.20%
01/31/2024,"1,508.86","1,508.86","1,508.86","1,508.86",,0.64%
01/30/2024,"1,499.31","1,499.31","1,499.31","1,499.31",,0.77%
01/29/2024,"1,487.89","1,487.89","1,487.89","1,487.89",,-0.67%
01/26/2024,"1,497.97","1,497.97","1,497.97","1,497.97",,-0.58%
01/25/2024,"1,506.65","1,506.65","1,506.65","1,506.65",,0.19%
01/24/2024,"1,503.75","1,503.75","1,503.75","1,503.75",,0.12%
01/23/2024,"1,502.01","1,502.01","1,502.01","1,502.01",,-0.57%
01/22/2024,"1,510.60","1,510.60","1,510.60","1,510.60",,-0.41%
01/19/2024,"1,516.75","1,516.75","1,516.75","1,516.75",,0.28%
01/18/2024,"1,512.56","1,512.56","1,512.56","1,512.56",,0.61%
01/17/2024,"1,503.34","1,503.34","1,503.34","1,503.34",,-0.61%
01/16/2024,"1,512.64","1,512.64","1,512.64","1,512.64",,-0.17%
01/15/2024,"1,515.21","1,515.21","1,515.21","1,515.21",,0.08%
01/12/2024,"1,514.07","1,514.07","1,514.07","1,514.07",,0.52%
01/11/2024,"1,506.21","1,506.21","1,506.21","1,506.21",,0.06%
01/10/2024,"1,505.37","1,505.37","1,505.37","1,505.37",,0.07%
01/09/2024,"1,504.36","1,504.36","1,504.36","1,504.36",,-1.08%
01/08/2024,"1,520.82","1,520.82","1,520.82","1,520.82",,0.16%
01/05/2024,"1,518.40","1,518.40","1,518.40","1,518.40",,0.41%
01/04/2024,"1,512.22","1,512.22","1,512.22","1,512.22",,0.19%
01/03/2024,"1,509.36","1,509.36","1,509.36","1,509.36",,0.04%
01/02/2024,"1,508.83","1,508.83","1,508.83","1,508.83",,0.51%
12/29/2023,"1,501.16","1,501.16","1,501.16","1,501.16",,-0.51%
12/28/2023,"1,508.91","1,508.91","1,508.91","1,508.91",,0.81%
12/27/2023,"1,496.84","1,496.84","1,496.84","1,496.84",,0.52%
12/22/2023,"1,489.13","1,489.13","1,489.13","1,489.13",,0.60%
12/21/2023,"1,480.27","1,480.27","1,480.27","1,480.27",,-0.29%
12/20/2023,"1,484.54","1,484.54","1,484.54","1,484.54",,0.64%
12/19/2023,"1,475.07","1,475.07","1,475.07","1,475.07",,-0.41%
12/18/2023,"1,481.17","1,481.17","1,481.17","1,481.17",,-0.72%
12/15/2023,"1,491.92","1,491.92","1,491.92","1,491.92",,-0.62%
12/14/2023,"1,501.16","1,501.16","1,501.16","1,501.16",,-0.46%
12/13/2023,"1,508.04","1,508.04","1,508.04","1,508.04",,-0.54%
12/11/2023,"1,516.18","1,516.18","1,516.18","1,516.18",,0.20%
12/08/2023,"1,513.19","1,513.19","1,513.19","1,513.19",,0.33%
12/07/2023,"1,508.23","1,508.23","1,508.23","1,508.23",,0.18%
12/06/2023,"1,505.45","1,505.45","1,505.45","1,505.45",,-0.36%
12/05/2023,"1,510.92","1,510.92","1,510.92","1,510.92",,0.82%
12/04/2023,"1,498.58","1,498.58","1,498.58","1,498.58",,0.28%
12/01/2023,"1,494.45","1,494.45","1,494.45","1,494.45",,-0.08%
11/30/2023,"1,495.58","1,495.58","1,495.58","1,495.58",,-0.83%
11/29/2023,"1,508.06","1,508.06","1,508.06","1,508.06",,-0.32%
11/28/2023,"1,512.96","1,512.96","1,512.96","1,512.96",,0.28%
11/27/2023,"1,508.81","1,508.81","1,508.81","1,508.81",,-0.10%
11/24/2023,"1,510.25","1,510.25","1,510.25","1,510.25",,0.31%
11/23/2023,"1,505.52","1,505.52","1,505.52","1,505.52",,0.75%
11/22/2023,"1,494.29","1,494.29","1,494.29","1,494.29",,0.77%
11/21/2023,"1,482.86","1,482.86","1,482.86","1,482.86",,0.63%
11/20/2023,"1,473.60","1,473.60","1,473.60","1,473.60",,0.10%
11/17/2023,"1,472.09","1,472.09","1,472.09","1,472.09",,0.46%
11/16/2023,"1,465.40","1,465.40","1,465.40","1,465.40",,0.37%
11/15/2023,"1,460.01","1,460.01","1,460.01","1,460.01",,1.02%
11/14/2023,"1,445.24","1,445.24","1,445.24","1,445.24",,1.77%
11/10/2023,"1,420.14","1,420.14","1,420.14","1,420.14",,0.27%
11/09/2023,"1,416.32","1,416.32","1,416.32","1,416.32",,-0.54%
11/08/2023,"1,424.01","1,424.01","1,424.01","1,424.01",,-0.33%
11/07/2023,"1,428.66","1,428.66","1,428.66","1,428.66",,-0.97%
11/06/2023,"1,442.67","1,442.67","1,442.67","1,442.67",,-0.05%
11/03/2023,"1,443.42","1,443.42","1,443.42","1,443.42",,-0.05%
11/02/2023,"1,444.12","1,444.12","1,444.12","1,444.12",,-1.13%
11/01/2023,"1,460.58","1,460.58","1,460.58","1,460.58",,-0.03%
10/31/2023,"1,461.07","1,461.07","1,461.07","1,461.07",,0.49%
10/30/2023,"1,453.90","1,453.90","1,453.90","1,453.90",,-0.55%
10/27/2023,"1,461.99","1,461.99","1,461.99","1,461.99",,-0.02%
10/26/2023,"1,462.32","1,462.32","1,462.32","1,462.32",,-0.53%
10/25/2023,"1,470.09","1,470.09","1,470.09","1,470.09",,-0.75%
10/24/2023,"1,481.22","1,481.22","1,481.22","1,481.22",,-0.40%
10/23/2023,"1,487.19","1,487.19","1,487.19","1,487.19",,-0.20%
10/19/2023,"1,490.10","1,490.10","1,490.10","1,490.10",,0.18%
10/18/2023,"1,487.47","1,487.47","1,487.47","1,487.47",,-0.03%
10/17/2023,"1,487.87","1,487.87","1,487.87","1,487.87",,0.17%
10/16/2023,"1,485.34","1,485.34","1,485.34","1,485.34",,-0.46%
10/13/2023,"1,492.16","1,492.16","1,492.16","1,492.16",,-0.27%
10/12/2023,"1,496.22","1,496.22","1,496.22","1,496.22",,0.61%
10/11/2023,"1,487.20","1,487.20","1,487.20","1,487.20",,-0.60%
10/09/2023,"1,496.14","1,496.14","1,496.14","1,496.14",,0.35%
10/06/2023,"1,490.98","1,490.98","1,490.98","1,490.98",,-0.86%
10/05/2023,"1,503.91","1,503.91","1,503.91","1,503.91",,0.11%
10/04/2023,"1,502.28","1,502.28","1,502.28","1,502.28",,-0.21%
10/03/2023,"1,505.47","1,505.47","1,505.47","1,505.47",,-0.41%
10/02/2023,"1,511.65","1,511.65","1,511.65","1,511.65",,0.19%
09/29/2023,"1,508.75","1,508.75","1,508.75","1,508.75",,-0.35%
09/28/2023,"1,514.10","1,514.10","1,514.10","1,514.10",,-0.21%
09/27/2023,"1,517.26","1,517.26","1,517.26","1,517.26",,-0.61%
09/26/2023,"1,526.53","1,526.53","1,526.53","1,526.53",,0.31%
09/25/2023,"1,521.78","1,521.78","1,521.78","1,521.78",,0.17%
09/22/2023,"1,519.26","1,519.26","1,519.26","1,519.26",,-0.10%
09/21/2023,"1,520.73","1,520.73","1,520.73","1,520.73",,-0.07%
09/20/2023,"1,521.80","1,521.80","1,521.80","1,521.80",,-0.40%
09/19/2023,"1,527.85","1,527.85","1,527.85","1,527.85",,-0.15%
09/18/2023,"1,530.08","1,530.08","1,530.08","1,530.08",,-0.04%
09/15/2023,"1,530.75","1,530.75","1,530.75","1,530.75",,-0.33%
09/14/2023,"1,535.82","1,535.82","1,535.82","1,535.82",,-0.29%
09/13/2023,"1,540.34","1,540.34","1,540.34","1,540.34",,-0.15%
09/12/2023,"1,542.70","1,542.70","1,542.70","1,542.70",,-0.10%
09/11/2023,"1,544.25","1,544.25","1,544.25","1,544.25",,0.17%
09/08/2023,"1,541.67","1,541.67","1,541.67","1,541.67",,0.31%
09/07/2023,"1,536.92","1,536.92","1,536.92","1,536.92",,-0.33%
09/06/2023,"1,542.04","1,542.04","1,542.04","1,542.04",,-0.08%
09/05/2023,"1,543.29","1,543.29","1,543.29","1,543.29",,-0.11%
09/04/2023,"1,544.95","1,544.95","1,544.95","1,544.95",,0.41%
09/01/2023,"1,538.64","1,538.64","1,538.64","1,538.64",,-0.10%
08/31/2023,"1,540.16","1,540.16","1,540.16","1,540.16",,0.51%
08/30/2023,"1,532.39","1,532.39","1,532.39","1,532.39",,0.36%
08/29/2023,"1,526.85","1,526.85","1,526.85","1,526.85",,0.39%
08/28/2023,"1,520.88","1,520.88","1,520.88","1,520.88",,-0.11%
08/25/2023,"1,522.49","1,522.49","1,522.49","1,522.49",,-0.38%
08/24/2023,"1,528.30","1,528.30","1,528.30","1,528.30",,-0.19%
08/23/2023,"1,531.23","1,531.23","1,531.23","1,531.23",,0.11%
08/22/2023,"1,529.53","1,529.53","1,529.53","1,529.53",,-0.11%
08/21/2023,"1,531.20","1,531.20","1,531.20","1,531.20",,-0.08%
08/18/2023,"1,532.46","1,532.46","1,532.46","1,532.46",,-0.98%
08/17/2023,"1,547.58","1,547.58","1,547.58","1,547.58",,-0.18%
08/16/2023,"1,550.44","1,550.44","1,550.44","1,550.44",,-0.79%
08/15/2023,"1,562.82","1,562.82","1,562.82","1,562.82",,-0.88%
08/14/2023,"1,576.76","1,576.76","1,576.76","1,576.76",,-1.08%
08/11/2023,"1,594.02","1,594.02","1,594.02","1,594.02",,-0.03%
