Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.645833333,3.3125,Lagos,Agege,"  33,241 ","  7,029 ",  161 ,"  32,197 ","  5,523 ","  21,719 ","  193,884 ","  6,218 ","  3,060 ",  754 ,"  6,074 ","  3,872 ","  6,785 ",2%,97%,79%,65%,88%,44%,11%,86%,55%,97%
6.612499999,3.329166667,Lagos,Agege,"  53,769 ","  11,276 ",  396 ,"  50,032 ","  8,735 ","  29,290 ","  452,287 ","  10,598 ","  6,041 ","  3,015 ","  10,665 ","  5,906 ","  10,213 ",4%,93%,77%,54%,94%,54%,27%,95%,52%,91%
6.637499999,3.304166667,Lagos,Agege,"  16,379 ","  3,431 ",  65 ,"  15,839 ","  2,679 ","  10,556 ","  239,259 ","  2,860 ","  1,043 ",  114 ,"  2,998 ","  1,812 ","  3,339 ",2%,97%,78%,64%,83%,30%,3%,87%,53%,97%
6.620833333,3.329166667,Lagos,Agege,"  60,422 ","  12,629 ",  479 ,"  56,545 ","  9,758 ","  28,235 ","  437,440 ","  11,473 ","  6,503 ","  2,676 ","  11,350 ","  6,675 ","  11,413 ",4%,94%,77%,47%,91%,51%,21%,90%,53%,90%
6.629166666,3.320833334,Lagos,Agege,"  37,986 ","  7,875 ",  284 ,"  36,041 ","  5,980 ","  20,555 ","  411,438 ","  7,044 ","  3,616 ","  1,177 ","  6,229 ","  3,385 ","  6,845 ",4%,95%,76%,54%,89%,46%,15%,79%,43%,87%
6.620833333,3.320833334,Lagos,Agege,"  45,952 ","  9,520 ",  370 ,"  43,339 ","  7,248 ","  23,986 ","  454,821 ","  8,656 ","  4,981 ","  2,263 ","  8,312 ","  4,841 ","  8,686 ",4%,94%,76%,52%,91%,52%,24%,87%,51%,91%
6.629166666,3.304166667,Lagos,Agege,"  32,404 ","  6,702 ",  186 ,"  31,382 ","  5,154 ","  20,480 ","  333,400 ","  6,014 ","  2,977 ",  494 ,"  6,052 ","  3,461 ","  6,328 ",3%,97%,77%,63%,90%,44%,7%,90%,52%,94%
6.637499999,3.3125,Lagos,Agege,"  45,115 ","  9,322 ",  254 ,"  43,428 ","  7,226 ","  26,735 ","  272,183 ","  8,105 ","  3,676 ",  968 ,"  7,866 ","  4,593 ","  8,676 ",3%,96%,78%,59%,87%,39%,10%,84%,49%,93%
6.612499999,3.320833334,Lagos,Agege,"  64,492 ","  13,300 ",  383 ,"  60,600 ","  10,191 ","  37,511 ","  472,898 ","  12,511 ","  7,009 ","  2,701 ","  12,599 ","  6,119 ","  12,229 ",3%,94%,77%,58%,94%,53%,20%,95%,46%,92%
6.629166666,3.3125,Lagos,Agege,"  41,741 ","  8,566 ",  289 ,"  40,025 ","  6,550 ","  24,040 ","  398,472 ","  7,683 ","  3,665 ","  1,387 ","  7,390 ","  3,983 ","  7,767 ",3%,96%,76%,58%,90%,43%,16%,86%,46%,91%
6.620833333,3.304166667,Lagos,Agege,"  58,170 ","  11,922 ",  379 ,"  56,015 ","  9,124 ","  34,479 ","  410,692 ","  11,102 ","  5,629 ","  1,490 ","  11,047 ","  6,103 ","  11,174 ",3%,96%,77%,59%,93%,47%,13%,93%,51%,94%
