"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2024","1,689.31","1,689.31","1,689.31","1,689.31","","-0.53%"
"04/18/2024","1,698.26","1,698.26","1,698.26","1,698.26","","-0.29%"
"04/17/2024","1,703.13","1,703.13","1,703.13","1,703.13","","0.27%"
"04/16/2024","1,698.46","1,698.46","1,698.46","1,698.46","","-0.67%"
"04/15/2024","1,709.90","1,709.90","1,709.90","1,709.90","","-0.87%"
"04/12/2024","1,724.86","1,724.86","1,724.86","1,724.86","","-0.93%"
"04/11/2024","1,741.12","1,741.12","1,741.12","1,741.12","","0.12%"
"04/09/2024","1,738.99","1,738.99","1,738.99","1,738.99","","-0.20%"
"04/08/2024","1,742.41","1,742.41","1,742.41","1,742.41","","-0.33%"
"04/05/2024","1,748.10","1,748.10","1,748.10","1,748.10","","0.01%"
"04/04/2024","1,747.85","1,747.85","1,747.85","1,747.85","","-0.21%"
"04/03/2024","1,751.50","1,751.50","1,751.50","1,751.50","","-0.40%"
"04/02/2024","1,758.59","1,758.59","1,758.59","1,758.59","","0.35%"
"03/28/2024","1,752.43","1,752.43","1,752.43","1,752.43","","-0.03%"
"03/27/2024","1,753.02","1,753.02","1,753.02","1,753.02","","0.28%"
"03/26/2024","1,748.15","1,748.15","1,748.15","1,748.15","","2.07%"
"03/25/2024","1,712.76","1,712.76","1,712.76","1,712.76","","1.52%"
"03/22/2024","1,687.17","1,687.17","1,687.17","1,687.17","","1.70%"
