Year,Bank,Profit After Tax
2022,EQTY,46.1
2021,EQTY,40.1
2020,EQTY,20.1
2019,EQTY,22.6
2018,EQTY,19.8
2017,EQTY,18.9
2016,EQTY,16.6
2015,EQTY,17.33
2022,ABSA,14.6
2021,ABSA,10.9
2020,ABSA,4.2
2019,ABSA,7.5
2018,ABSA,7.4
2017,ABSA,6.9
2016,ABSA,7.4
2015,ABSA,8.4
2022,SCBK,12
2021,SCBK,8.9
2020,SCBK,5.4
2019,SCBK,8.2
2018,SCBK,8.1
2017,SCBK,6.9
2016,SCBK,9.1
2015,SCBK,6.3
2022,KCB,40.8
2021,KCB,34.2
2020,KCB,19.6
2019,KCB,25.2
2018,KCB,24
2017,KCB,19.7
2016,KCB,19.7
2015,KCB,19.6
