question,response
A transfer has not been credited to the card. What should I do?,"If you do not receive the funds, we recommend contacting the support team support@portmone.com or calling 044 200-09-02. You can also contact the issuing bank to check the details of the authorisation and clarify why the funds have not been credited to the account."
Am I eligible for a loan from Pivdenny Bank if I have current loans in other banks?,"Yes, if the borrower’s income supported by documents is sufficient to serve the payables on the loans and cover basic expenses."
Are the terms of the grace credit period applicable to purchases made using additional cards?,Yes. The payables on the additional card are added to the total amount payable under the main card. The grace credit period will be in effect subject to full payment of the total amount of debt by the 25th day of the month following the month during which you used the credit funds.
"Are there any additional features in the ""Client Bank""?","Additional features of the ""Client Bank"" include: SMS notification, email notification, authorised signature, SMS confirmation, ""Limits and authorisation""."
Are there any additional features in the Client Bank?,"Additional features of the Client Bank include: SMS notification, e-mail notification, authorised signature, SMS confirmation, ""Limits and authorisation""."
Are there any limits on transactions?,"Yes, there are limits for ""Payment"" services:
- maximum amount of one transfer – UAH 50,000;- maximum amount of transfers per day – UAH 150,000;No limits are established on transfers between accounts belonging to the same person.The ""Bill Payment"" service may be subject to minimum/maximum payment limits depending on the type and provider of the service paid by the client. During entry of the amount, the system will advise you concerning the amount eligible for payment."
Are there any restrictions on the minimum and maximum payment amount?,Restrictions may be imposed under applicable law or by financial monitoring.
Are there any transactions to which the grace period does not apply?,"The grace period terms and conditions do not apply to cash withdrawal transactions using the credit card, including transactions identified by payment systems as those that are directly convertible into cash (replenishment of internet wallets, money transfers, card-to-card transfers, settlements via Pivdenny MyBank system, etc.), as well as to transfers of funds from the credit card account to the account of any third person or to the holders’ current account."
Are there any wireless POS terminals in the bank?,"Yes. When concluding an acquiring agreement, the Bank offers a range of POS terminals."
Are there unsecured letters of credit?,"Yes. To apply for an unsecured (guaranteed) letter of credit, it is necessary to ensure the compliance of the requested documents with internal regulations of the bank and effective Ukrainian legislation."
Can I block my payment card?,"To block a card, go to ""My accounts/Card accounts"", select the required card and press the ""Block card"" button. Specify the status and reason for blocking the card and sign the application for blocking using the code specified in the SMS message."
Can I change the type of the service specified in the certificate?,"No. Under the programme rules, you can only enjoy the service specified in the certificate.Official rules of the Mastercard rewards programme"
Can I conclude a deposit online?,"To conclude a deposit account online, go to ""Deposits/Conclude"" or ""Choose and conclude"" in the web version of the internet banking system."
Can I create a recurring payment template?,"To review and create orders on recurring payments, go to ""Payments/Recurring payments"" in the web version of the internet banking system."
Can I exchange/return a gift?,"Under the terms and conditions of the programme, gifts may not be exchanged or returned."
Can I get a loan if my fixed assets are all leased?,"It is possible, if all land plots have been leased for at least the term of the loan + 1 year; applies to 70% of all land plots used for agricultural activities."
Can I have two cards attached to the same account?,Pivdenny Bank offers to you additional VISA and Mastercard payment cards attached to your account at the most attractive conditions to ensure a more comfortable use of the payment cards.
Can I make use of the grace period during the next month if I repaid only a portion of my debt on the card?,Yes.
Can I manage the account online?,"Yes. To that end, you need to complete the respective application form and sign the service agreement using the iFobs remote servicing system."
Can I obtain the overdraft if I am not your client?,"Yes, you can make agreement on overdraft before you become a client of Pivdenny Bank. When fixing the limit, the bank will take into account the net average monthly income from the business activity to the bank that serves you for the past 6 months."
Can I offer any goods or services on my website?,"The Bank provides Internet acquiring services for the sale of all goods and services, except for:

Gambling (including payment for casino chips, gambling services, online casinos, lotto), lotteries, as well as bookmaking services (betting, wagering of money or something of material value).
Activities related to debt collection and debt agencies.
Financial pyramids, network marketing.
Pornography, sexual content.
Sale of medicines.
Sale of firearms and related spare parts, or cold weapons, which is prohibited by law enforcement agencies and explosives.
Sale of other goods/services, the free sale of which is prohibited or restricted by law; is capable of adversely affecting the bank's business reputation or international payment systems."
Can I open a deposit for my children?,"Yes. You can open a deposit in the name of your child (""Profitable"")"
Can I open several deposits in my own name?,There is no limit to the number of deposits you can have with us.
Can I prolong the agreement without visiting the bank?,An automatic prolongation option is not available.
Can I prolong the agreement without visiting the bank?,Automatic prolongation option is not available.
Can I purchase second-hand equipment on credit?,Yes.
Can I receive the loan in UAH and have my deposit in a foreign currency?,"Yes, you can."
Can I receive the loan in UAH if my deposit is in a foreign currency?,"Yes, you can."
Can I select the degree of protection for transactions by myself?,"Yes, you can select the degree of protection independently when making transactions:

You can make a payment with your screen unlocked, which is especially handy if your smartphone is equipped with fingertip recognition.
For those with particularly high security requirements, the app provides a mandatory entry feature for transaction processing.
For payments worth below UAH 500, you can activate the idle mode payment feature, so you don’t need to unlock your smartphone.

Any of these payment options is as secure as a payment using a card."
Can I use Pivdenny Bank credit cards abroad?,"Pivdenny Bank credit cards are accepted for payment for goods and services both in Ukraine and abroad. A credit card eliminates foreign exchange transactions problems; it is more secure and handy for travellers. In addition, you can use the credit card to withdraw cash from any ATM worldwide."
Can I use my Pivdenny Bank card abroad?,"Yes, you can!Pivdenny Bank issues VISA and Mastercard international payment system cards. The cards of these systems are used all over the world. As a rule, POS accepting VISA and Mastercard payment cards are marked with the respective payment systems logos."
Can POS terminals be set up without opening a current account in your bank?,Opening a current account is a prerequisite for provision of the trade acquiring service.
Can a POS terminal be installed without opening a current account in your bank?,Opening a current account is a prerequisite for the provision of the “Trade acquiring” service.
"Can a resident outside Ukraine remit an amount over UAH 400,000.00/day (or the equivalent) to a physical person?","If the money is sent to a relative, or when moving outside Ukraine for permanent residence. To send such a transfer, the sender has to provide the required supporting documents."
"Can a resident outside Ukraine send an amount over UAH 400,000.00/day (or the equivalent) to a physical person?","If the money is sent to a relative, or if moving abroad for permanent residence. To send such a transfer, the sender should provide the required supporting documents."
"Can a resident outside Ukraine send an amount over UAH 400,000.00/day (or the equivalent) to a physical person?","Yes, if the money is sent to a relative, or in case of moving abroad for permanent residence. To send such a transfer, the sender should provide the necessary supporting documents."
Can a transfer be sent within Ukraine (and in which currencies)?,"To send a transfer within Ukraine, use systems such as Western Union or Welsend (UAH transfers only).
Transfers in foreign currencies are only allowed from the current account using Welsend and S.W.I.F.T. systems for one’s own benefit or to a family member’s account."
Can agreements with non-residents be carried out using escrow accounts?,"No, this option is only for clients with the status of ""resident of Ukraine""."
Can cards of different classes be issued within a single salary project?,"Yes, they can. Within the salary project, cards of different levels of classification can be registered."
Can international customers of my online store make electronic payments via bank cards?,"Yes, cards of international payment systems and their tokens are accepted for making payments."
"Can the ""Client Bank"" system be installed on a mobile phone?","At present, the mobile application of the ""Client Bank"" system is under development."
"Can the ""Client Bank"" system be installed on a mobile phone?","Not yet. The mobile application (app) for the ""Client Bank"" system is under development."
Can the account be managed online?,"Yes. To that end, fill out the relevant application form and sign a contract using the iFOBS Client Bank system."
Can the app help me if I lose my card?,"This app provides a list of global consumer support centres available in the country of your stay. In case of emergencies, you can immediately call the relevant personnel by simply pressing the ""Dial"" button."
Can the bank connect several subjects of foreign economic activity to the same terminal?,"Yes. You can connect several subjects of foreign economic activity to the same terminal. For this purpose, each FD needs to conclude an acquiring agreement with the bank."
Can the bank protect the funds on my card once the card has been reported lost?,"Once the loss is reported to the bank and the bank has blocked you card, all transactions processed using that card thereafter will not be processed."
Do I have to insure the collateral?,Insurance of the collateral by a bank accredited insurer is mandatory.
Do I have to insure the collateral?,Insurance of the collateral in the bank’s favour with a bank accredited insurer is mandatory.
Do I have to insure the collateral?,Insurance of the collateral is a mandatory condition.
Do I have to insure the collateral?,Insurance of the collateral with a bank accredited insurer is mandatory.
Do I have to insure the collateral?,Insurance of the collateral with an insurer accredited by the Bank is a mandatory condition.
Do I have to insure the collateral?,No.
Do I have to pay fees for card-based settlements for goods or services?,No fee is charged for card-based settlements for goods or services via a POS-terminal. It does not matter to the cardholder which bank owns the terminal used to process the transaction. The price of the goods you purchase remains unchanged whether you pay for it in cash or by card.
Do I need to provide contracts to open a guarantee?,"Yes, presentation of documents is a must in order to issue a guarantee."
Do I need to provide contracts to open a letter of credit?,"Yes, this is a mandatory condition for issuing the letter of credit because the terms are reflected in the contract."
Do guarantees need to be insured?,Insurance of the collateral for its market value in the bank’s favour with an bank accredited insurer is mandatory.
Do the terms of the grace credit period apply to purchases made abroad or via the Internet?,Yes.
Does the Bank inform its depositors about the approach of deposit maturity dates?,"Yes, the bank provides such a service via SMS notifications, informing our clients of the maturity of their deposits."
Does the bank have wireless POS terminals?,"Yes. When concluding an acquiring agreement, the Bank offers a range of POS terminals."
Funds from the sender's card were written off twice. What should I do?,"If the funds in your account are written off twice, this is a bank error. In this case, the funds will be automatically returned to your account.
If funds are not returned to your card, be sure to contact the help desk of the bank that issued your card, as well as the support service support@portmone.com or call 044 200-09-02."
Has the NBU established limits on the remittance of money outside Ukraine by residents?,"A transfer below UAH 400,000.00/day (or the equivalent) may be sent from the Ukraine without opening a current account and/or providing supporting documents.
If a transfer amount exceeds UAH 400,000.00/day (or the equivalent), the transfer may be performed only from the client’s current account in a foreign currency based on the required supporting documents."
Has the NBU established limits on the remittance of money outside Ukraine by residents?,"A transfer below UAH 400,000.00/day (or the equivalent) may be sent from the Ukraine without opening a current account or any supporting documents.
If a transfer amount exceeds UAH 400,000.00/day (or the equivalent), the transfer may be performed only from the client’s current account in a foreign currency based on the necessary supporting documents."
Has the NBU established limits on the remittance of money outside Ukraine by residents?,"A transfer below UAH 400,000.00/day (or the equivalent) may be sent from the Ukraine without opening a current account or any supporting documents.
If a transfer amount exceeds UAH 400,000.00/day (or the equivalent), the transfer may be performed only from the client’s current account in a foreign currency based on the required supporting documents."
