residence_county,Headcount Rate (%),Distribution of the Poor (%),Poverty Gap (%),Severity of Poverty (%),Population (ths),Number of Poor (ths)
National,8.6,100,2.2,0.9,"45,371","3,908"
Rural,11.2,83.8,2.9,1.2,"29,127","3,273"
Peri-Urban,6,5.1,1.2,0.4,"3,340",199
Core-Urban,3.4,11.1,0.8,0.3,"12,905",436
Mombasa,2.2,0.7,0.8,0.4,"1,185",27
Kwale,5.9,1.2,0.7,0.2,820,48
Kilifi,7,2.5,1.9,0.8,"1,400",98
Tana River,17.9,1.4,5.3,2.3,304,54
Lamu,3.2,0.1,0.8,0.2,128,4
Taita/Taveta,5.3,0.5,1,0.4,358,19
Garissa,23.8,2.6,6.7,2.6,432,103
Wajir,10.5,1.2,3.3,1.8,459,48
Mandera,38.9,7.1,11,4.1,711,277
Marsabit,23.8,1.9,6.3,2.6,316,75
Isiolo,8.9,0.4,2,0.7,156,14
Meru,2.8,1.1,0.5,0.1,"1,471",42
Tharaka-Nithi,1.8,0.2,0.2,0.1,396,7
Embu,4,0.6,1.1,0.4,560,22
Kitui,12.8,3.6,2.7,0.8,"1,098",141
Machakos,3.5,1.1,0.7,0.2,"1,191",41
Makueni,6.6,1.6,1.1,0.3,959,63
Nyandarua,3.4,0.6,0.5,0.1,686,23
Nyeri,0.2,0,0,0,798,1
Kirinyaga,0.9,0.1,0.2,0.1,608,6
Muranga,5.2,1.4,0.8,0.2,"1,085",56
Kiambu,3.1,1.5,0.4,0.1,"1,868",58
Turkana,52.7,14.6,24.3,14.1,"1,084",571
West Pokot,26.2,4.3,6,2.2,649,170
Samburu,42.2,3.1,11.7,5,284,120
Trans Nzoia,9.7,2.6,2.2,0.7,"1,038",101
Uasin Gishu,12.1,3.5,2.8,1,"1,133",137
Elgeyo/Marakwet,12.2,1.5,2.8,0.9,469,57
Nandi,8,2,1.2,0.3,954,76
Baringo,8.5,1.5,2.6,1.2,704,60
Laikipia,15,1.9,4.4,1.7,507,76
Nakuru,3.7,1.9,0.4,0.1,"2,031",75
Narok,5.5,1.5,1.2,0.4,"1,078",60
Kajiado,11.4,2.5,2.5,0.9,871,99
Kericho,7.3,1.8,1.7,0.7,945,69
Bomet,6.1,1.4,0.7,0.1,916,56
Kakamega,6.9,3.3,1.9,0.8,"1,876",129
Vihiga,8.2,1.3,1.7,0.7,627,51
Bungoma,8.8,3.5,1.7,0.5,"1,553",137
Busia,26.8,5.8,4.3,1.1,840,225
Siaya,6.1,1.5,1.5,0.5,985,60
Kisumu,6,1.7,1.2,0.4,"1,132",68
Homa Bay,5.9,1.6,1.2,0.3,"1,072",64
Migori,3.6,1,0.6,0.2,"1,126",40
Kisii,7.5,2.6,1.2,0.3,"1,347",101
Nyamira,7.6,1.4,1.5,0.5,699,53
Nairobi City,0.6,0.1,0,9.8,"4,463",26
