County,Number of Teachers,Centroid
Baringo,6559,"(0.669252, 35.9464654)"
Bomet,8344,"(-0.7262946, 35.2985976)"
Bungoma,12076,"(0.7492852, 34.6404609)"
Busia,6537,"(0.3874437, 34.1936315)"
Elgeyo Marakwet,4776,"(0.8022188, 35.5365631)"
Embu,5301,"(-0.6039744, 37.6265013)"
Garissa,2613,"(-0.4889103, 40.1992785)"
Homa Bay,10061,"(-0.5428094, 34.3589969)"
Isiolo,1320,"(1.0104431, 38.5421531)"
Kajiado,5909,"(-2.1213836, 36.9088422)"
Kakamega,14509,"(0.4036835, 34.7445112)"
Kericho,8269,"(-0.2957329, 35.31407)"
Kiambu,12469,"(-1.0687061, 36.8235643)"
Kilifi,8538,"(-3.175732, 39.6866876)"
Kirinyaga,4459,"(-0.5247463, 37.3198681)"
Kisii,11423,"(-0.7746038, 34.774723)"
Kisumu,8205,"(-0.1694587, 34.8352035)"
Kitui,12460,"(-1.4910385, 38.406921)"
Kwale,4892,"(-4.1831495, 39.1904119)"
Laikipia,3500,"(0.3236041, 36.7717279)"
Lamu,1109,"(-2.0786825, 40.8828607)"
Machakos,10667,"(-1.2795123, 37.412676)"
Makueni,9654,"(-2.1576841, 37.7882456)"
Mandera,1553,"(3.4364695, 40.7388102)"
Marsabit,1627,"(2.9786588, 37.5695361)"
Meru,11923,"(0.1667792, 37.7640371)"
Migori,8434,"(-0.9895368, 34.3633453)"
Mombasa,5316,"(-4.0212562, 39.6508827)"
Muranga,7499,"(-0.8095905, 37.0327225)"
Nairobi,16339,"(-1.2934135, 36.8681893)"
Nakuru,12963,"(-0.4636754, 36.0784791)"
Nandi,8553,"(0.1866889, 35.1104877)"
Narok,6961,"(-1.2547903, 35.5763292)"
Nyamira,5841,"(-0.6427324, 34.9646596)"
Nyandarua,5514,"(-0.3220778, 36.4828692)"
Nyeri,6401,"(-0.3429236, 36.9564781)"
Samburu,1230,"(1.3168546, 37.1183941)"
Siaya,7425,"(-0.0621299, 34.2476417)"
Taita Taveta,2610,"(-3.434734, 38.418602)"
Tana River,1380,"(-1.5263666, 39.4178692)"
Tharaka Nithi,4931,"(-0.2070612, 37.8702973)"
Trans Nzoia,6200,"(1.0509548, 34.95742)"
Turkana,2880,"(3.4248492, 35.4357585)"
Uasin Gishu,7035,"(0.5260859, 35.3220117)"
Vihiga,5329,"(0.0762658, 34.722323)"
Wajir,1460,"(1.8081376, 40.0349856)"
West Pokot,4423,"(1.7401062, 35.2438468)"
